"Word","Length","SUBTLWF","Ortho_N","Concreteness_Rating","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Pron","NSyll","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"shinned","7","#","3","#","#","#","#","S""Ind","1","#","#","#"
"shins","5","0.490","11","#","#","#","#","S""Inz","1","#","#","#"
"shirked","7","0.040","3","#","#","#","#","S""3`kt","1","#","#","#"
"shirks","6","0.060","5","#","#","#","#","S""3`ks","1","#","#","#"
"SHIRL","5","0.710","8","#","#","#","#","S""@`l","1","#","#","#"
"shirr","5","#","5","#","#","#","#","""S3`","1","#","#","#"
"shirred","7","#","3","#","#","#","#","""S3`d","1","#","#","#"
"shirrs","6","#","4","#","#","#","#","""S3`z","1","#","#","#"
"SHISH","5","0.470","2","#","#","#","#","S""IS","1","#","#","#"
"shit","4","474.650","13","#","#","#","#","S""It","1","#","#","#"
"shits","5","2.220","11","#","#","#","#","S""Its","1","#","#","#"
"shoaled","7","#","0","#","#","#","#","S""old","1","#","#","#"
"shooed","6","0.060","3","#","#","#","#","S""ud","1","#","#","#"
"shoos","5","0.020","6","#","#","#","#","S""uz","1","#","#","#"
"shoots","6","6.980","4","#","#","#","#","S""uts","1","#","#","#"
"shopped","7","0.470","6","#","#","#","#","S""Apt","1","#","#","#"
"shored","6","0.120","8","#","#","#","#","S""Ord","1","#","#","#"
"shouldst","8","0.080","0","#","#","#","#","S""Udst","1","#","#","#"
"SHOUP","5","#","2","#","#","#","#","S""up","1","#","#","#"
"shoves","6","0.530","5","#","#","#","#","S""Vvz","1","#","#","#"
"shrews","6","0.020","4","#","#","#","#","Sr""uz","1","#","#","#"
"shrieks","7","1.080","1","#","#","#","#","Sr""iks","1","#","#","#"
"shrift","6","0.080","1","#","#","#","#","Sr""Ift","1","#","#","#"
"shrike","6","0.330","3","#","#","#","#","Sr""aIk","1","#","#","#"
"shrikes","7","#","3","#","#","#","#","Sr""aIks","1","#","#","#"
"shrills","7","#","2","#","#","#","#","""SrIlz","1","#","#","#"
"shrimped","8","#","1","#","#","#","#","Sr""Impt","1","#","#","#"
"shrimps","7","0.590","1","#","#","#","#","Sr""Imps","1","#","#","#"
"shrined","7","#","2","#","#","#","#","Sr""aInd","1","#","#","#"
"shrive","6","#","5","#","#","#","#","Sr""aIv","1","#","#","#"
"shrived","7","0.020","6","#","#","#","#","Sr""aIvd","1","#","#","#"
"shrives","7","#","8","#","#","#","#","Sr""aIvz","1","#","#","#"
"shrouds","7","0.220","0","#","#","#","#","Sr""aUdz","1","#","#","#"
"shrove","6","#","3","#","#","#","#","Sr""ov","1","#","#","#"
"shrunk","6","1.550","2","#","#","#","#","Sr""VNk","1","#","#","#"
"SHU","3","#","5","#","#","#","#","S""u","1","#","#","#"
"shucked","7","0.080","3","#","#","#","#","S""Vkt","1","#","#","#"
"shushed","7","0.160","1","#","#","#","#","""S@St","1","#","#","#"
"SHUTE","5","#","3","#","#","#","#","S""ut","1","#","#","#"
"shyer","5","0.080","2","#","#","#","#","S""aI@`","1","#","#","#"
"si","2","7.670","12","#","#","#","#","s""i","1","#","#","#"
"sib","3","#","18","#","#","#","#","s""Ib","1","#","#","#"
"sibs","4","0.040","13","#","#","#","#","s""Ibz","1","#","#","#"
"SID","3","#","22","#","#","#","#","s""Id","1","#","#","#"
"SIE","3","0.800","20","#","#","#","#","s""i","1","#","#","#"
"sieved","6","#","1","#","#","#","#","s""Ivd","1","#","#","#"
"sieves","6","#","2","#","#","#","#","s""Ivz","1","#","#","#"
"sifts","5","0.060","3","#","#","#","#","s""Ifts","1","#","#","#"
"Sikhs","5","0.060","1","#","#","#","#","s""iks","1","#","#","#"
"silks","5","0.550","9","#","#","#","#","s""Ilks","1","#","#","#"
"sills","5","0.180","15","#","#","#","#","s""Ilz","1","#","#","#"
"SIMMS","5","#","0","#","#","#","#","s""Imz","1","#","#","#"
"SIMS","4","2.450","10","#","#","#","#","s""Imz","1","#","#","#"
"SIND","4","0.140","13","#","#","#","#","""sInd","1","#","#","#"
"sines","5","0.020","19","#","#","#","#","s""aInz","1","#","#","#"
"sinks","5","1.710","14","#","#","#","#","s""INks","1","#","#","#"
"sips","4","0.410","17","#","#","#","#","s""Ips","1","#","#","#"
"sires","5","0.020","13","#","#","#","#","s""aIrz","1","#","#","#"
"SISK","4","#","6","#","#","#","#","s""Isk","1","#","#","#"
"sixths","6","0.020","0","#","#","#","#","s""IksTs","1","#","#","#"
"skeins","6","0.020","1","#","#","#","#","sk""enz","1","#","#","#"
"skep","4","#","5","#","#","#","#","""skEp","1","#","#","#"
"skeps","5","#","3","#","#","#","#","""skEps","1","#","#","#"
"skewered","8","0.220","0","#","#","#","#","skj""u@`d","1","#","#","#"
"skewers","7","0.290","0","#","#","#","#","skj""u@`z","1","#","#","#"
"skied","5","0.270","5","#","#","#","#","sk""id","1","#","#","#"
"skiers","6","0.240","0","#","#","#","#","sk""i@`z","1","#","#","#"
"skiff","5","0.730","2","#","#","#","#","sk""If","1","#","#","#"
"skiffs","6","#","2","#","#","#","#","sk""Ifs","1","#","#","#"
"skimped","7","0.020","2","#","#","#","#","sk""Impt","1","#","#","#"
"skimps","6","#","1","#","#","#","#","sk""Imps","1","#","#","#"
"skims","5","0.020","10","#","#","#","#","sk""Imz","1","#","#","#"
"skinned","7","1.350","2","#","#","#","#","sk""Ind","1","#","#","#"
"skint","5","0.140","4","#","#","#","#","sk""Int","1","#","#","#"
